Codigo,Fabricante ,DescriÃ§Ã£o,SP,Proxima Entrada em SP,VIX ES,Proxima Entrada em ES,Total,ForeCast Novo,Meses,Data_Referencia
0110-005,Alianza,ESPUMA MENOPAUSA 150 ML,216,0,766,,982,140,"7,0",14/08/2026
0005-001,CM Hospitalar,ABS. P/ SEIOS AMAMENTE C/ 12,3517,0,4650,,8167,16000,"0,5",
0070-003,Support Pack,CONCHA BASE FLEXIVEL - MACRO,406,0,885,,1291,1400,"0,9",
0072-044,Semina,KY BLUEBARRY NATURAL 50G,14341,0,5462,,19803,1000,"19,8",
0072-039,Semina,K-Y HIDRATANTE BISN. 30 G,2603,20030,6520,,29153,7000,"4,2",
0072-041,Semina,K-Y LIQUID 50G,6949,0,9946,,16895,14500,"1,2",
0072-033,Semina,K-Y ULTRA SILICONE 50G,253,0,8,,261,10500,"0,0",
0072-029,Semina,K-Y ULTRAGEL HOT 50G ,8493,0,19900,,28393,14500,"2,0",
0072-048,Semina,K-Y ULTRAGEL HOT SACHE 5G                         ,64199,500,3500,,68199,4200,"16,2",
0072-024,Semina,K-Y ORIGINAL BISNAGA DE 50 G,60147,0,135304,,195451,74000,"2,6",
0072-043,Semina,KY MORANGO NATURAL 50G,1884,21251,3866,,27001,2400,"11,3",
0072-038,Semina,KY ORIGINAL SACHE 5 G,18600,0,10100,,28700,112000,"0,3",
0005-019,Alianza,K-Y NATURALS ESP. HIG. INT. TODO DIA 150ML,0,0,867,,867,400,"2,2",
0000-028,Support Pack,PRES. FEM. - DELLA UN. P/ CART.,861,0,2688,,3549,3800,"0,9",
0005-021,Alianza,K-Y NATURALS ESP. HIG. INT. HIPOALERGENICA 150ML,2244,0,1714,,3958,750,"5,3",
0072-045,Semina,KY VANILLA NATURAL 50G,1301,0,8390,,9691,1000,"9,7",
0005-002,CM Hospitalar,ABS. P/ SEIOS AMAMENTE C/ 30,145404,19344,70553,,235301,32000,"7,4",
0072-055,Semina,K-Y LIQUID 120 G,3718,0,6117,,9835,1300,"7,6",
0005-020,Alianza,K-Y NATURALS ESP. HIG. INT. MENOPAUSA 150ML,656,0,1518,,2174,1000,"2,2",
0072-042,Semina,KY NATURAL  50G,1188,0,3418,,4606,1000,"4,6",
0070-013,Maila,AMAMENTE LANOLINA,318,0,8575,,8893,3300,"2,7",
0005-016,Carmel,K-Y CLINICAL LENÃ‡O ÃNTIMO C/ 16 UNIDADES,677,0,9288,,9965,4500,"2,2",
0072-064,Semina,K-Y NATURALS 120G,3517,0,14491,,18008,900,"20,0",
0072-025,Semina,K-Y ORIGINAL BISN. 100 G,144466,11178,48290,,203934,42330,"4,8",
0072-026,Semina,K-Y ORIGINAL 48X3 SACHE DE 5 G,6192,0,76032,,82224,17500,"4,7",
0070-005,Support Pack,CONCHA BASE RIGIDA - MACRO,300,0,621,,921,500,"1,8",
0070-010,Perfitecnica,PROTETOR DE MAMILO C/2,8537,0,6173,,14710,1800,"8,2",
0070-006,Perfitecnica,PROTETOR DE MAMILO ( INTERMEDIARIO ),20744,0,29260,,50004,6474,"7,7",
0005-014,Carmel,TOAL. HIG. AMAMENTE BABY C/48,15499,0,8928,,24427,4084,"6,0",
0072-074,Semina,K-Y ORIGINAL BISN. 25G,28369,0,11946,,40315,4000,"10,1",
0005-018,Maila,K-Y CLINICAL FEMININO 120ML,3552,0,15043,,18595,900,"20,7",
0005-013,CM Hospitalar,QUAD. ALG. AMAMENTE BABY C/100,2019,0,7428,,9447,4500,"2,1",
0005-009,CM Hospitalar,ABS.P/SEIOS SUPER PREMIUM C/24,4286,0,57109,,61395,5500,"11,2",
0005-015,Carmel,TOAL.HIGI. AMAMENTE BABY C/96,14061,0,22836,,36897,2500,"14,8",
0072-065,Semina,K-Y NATURALS MORANGO 120G,7392,0,5053,,12445,700,"17,8",
0110-007,Alianza,ESPUMA TEEN 150 ML,204,0,744,,948,37,"25,6",
0070-012,Herboflora,CHA DA MAMAE AMAM. CART. C/15,576,0,20192,,20768,900,"23,1",
0072-047,Semina,K-Y LIQUID SACHE 5G,62200,0,63000,,125200,1000,"125,2",
0110-004,Alianza,ESPUMA CALM 150 ML,240,0,3114,,3354,136,"24,7",
0005-012,CM Hospitalar,QUAD. ALG. AMAMENTE BABY C/50,42366,0,5743,,48109,2000,"24,1",
0005-017,Maila,K-Y CLINICAL PROCTO 120ML,9686,0,12915,,22601,300,"75,3",
0110-006,Alianza,ESPUMA MESTRUACAO 150 ML,267,0,1668,,1935,46,"42,1",
0110-003,Alianza,NUAÃ ESPUMA DE HIGIENE ÃNTIMA SUAVE - 150ML,804,0,4513,,5317,67,"79,4",
0110-001,Alianza,NUAÃ ÃGUA ÃNTIMA PREBIÃ“TICA FRESH - 50ML,1008,0,4692,,5700,63,"90,5",
0072-037,Semina,GEL LUB. SEMINA - VP,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,
0072-076,Semina,K-Y NATURALS MORANGO SACHE 5G,4700,0,0,,4700,#N/A,#N/A,
0110-011,Harus,CREME ESFOLIANTE 100ML,2136,0,186,,2322,#N/A,#N/A,
